Seed,Accuracy
1,0.8895410885805763
2,0.8831376734258272
3,0.8911419423692636
4,0.9028815368196371
5,0.8964781216648879
6,0.9023479188900747
7,0.9034151547491995
8,0.8943436499466382
9,0.884204909284952
10,0.8954108858057631
11,0.9034151547491995
12,0.9087513340448239
13,0.8996798292422625
14,0.8980789754535753
15,0.9146211312700107
16,0.8954108858057631
17,0.9012806830309499
18,0.8938100320170758
19,0.9060832443970117
20,0.9028815368196371
21,0.9060832443970117
22,0.9012806830309499
23,0.9055496264674493
24,0.8852721451440768
25,0.9023479188900747
26,0.8772678762006404
27,0.9002134471718249
28,0.9071504802561366
29,0.8932764140875133
30,0.884204909284952
31,0.9012806830309499
32,0.8964781216648879
33,0.9002134471718249
34,0.8900747065101388
35,0.9018143009605123
36,0.8959445037353255
37,0.9023479188900747
38,0.8991462113127001
39,0.9210245464247598
40,0.9055496264674493
41,0.8911419423692636
42,0.9044823906083245
43,0.8911419423692636
44,0.9087513340448239
45,0.9076840981856991
46,0.8906083244397012
47,0.9039487726787621
48,0.9060832443970117
49,0.8820704375667022
50,0.8948772678762006
51,0.8900747065101388
52,0.8954108858057631
53,0.8799359658484525
54,0.8943436499466382
55,0.8943436499466382
56,0.9103521878335112
57,0.9018143009605123
58,0.9066168623265741
59,0.8996798292422625
60,0.8890074706510138
61,0.9007470651013874
62,0.9034151547491995
63,0.9007470651013874
64,0.8996798292422625
65,0.8938100320170758
66,0.9034151547491995
67,0.8900747065101388
68,0.8831376734258272
69,0.9055496264674493
70,0.9055496264674493
71,0.8890074706510138
72,0.8863393810032018
73,0.8836712913553896
74,0.8847385272145144
75,0.9028815368196371
76,0.8943436499466382
77,0.8996798292422625
78,0.9060832443970117
79,0.9108858057630737
80,0.8996798292422625
81,0.8970117395944504
82,0.8954108858057631
83,0.8890074706510138
84,0.8991462113127001
85,0.9018143009605123
86,0.8927427961579509
87,0.9087513340448239
88,0.9060832443970117
89,0.9034151547491995
90,0.9098185699039488
91,0.9082177161152615
92,0.9050160085378869
93,0.8863393810032018
94,0.9028815368196371
95,0.9028815368196371
96,0.9060832443970117
97,0.8890074706510138
98,0.8900747065101388
99,0.9082177161152615
100,0.8991462113127001
