0,1,2,3,4,5,6
0.0015839739591718837,2.813134237402666e-12,4.8375907695664776e-17,3.643108418129618e-12,-3.107945246085469e-26,-6.109443734063427e-18,-3.705603137976198e-26
0.001595074655667517,1.824651711484332e-10,2.362499932115535e-15,5.971520691650587e-12,1.4943121047857055e-25,8.431340573923905e-18,-6.933528968555556e-25
0.001582353623129913,3.830758277994983e-12,4.829502300553891e-16,3.603478698303835e-12,-1.2793192000472042e-25,-6.995617095501491e-18,-7.89387914764185e-26
0.001595244512652048,1.7476148739463374e-10,6.357146539437159e-16,6.0527171778769375e-12,1.0981059497265566e-25,5.749159271399731e-18,3.590366351797622e-25
0.0015942829343472036,1.4732955918182043e-10,3.4426970949350147e-15,4.032839938965494e-12,4.734477204124517e-25,4.248522525046801e-17,4.06365357600686e-26
0.0015972258089680948,2.2262374757618064e-10,9.616248704054573e-16,2.1312417328347315e-12,-9.591794848334643e-26,-3.179906933594873e-17,-1.042900420328903e-26
0.0016073418175519207,4.6397012098535136e-12,4.689041008839549e-17,4.495154303932612e-12,-5.219971506975686e-26,-9.655537068229337e-18,-3.917001163343245e-26
0.0015968330271397021,2.2724168821343168e-10,2.7478881223398755e-15,2.0694519107212597e-12,-1.4803378301381808e-25,-3.112371184494258e-17,-4.9393373448139906e-26
0.0016090166566469517,3.2827354517482975e-12,1.0435591040016062e-16,4.570624558538372e-12,1.7183297788935243e-26,-8.15823526779204e-18,-9.833088641502177e-26
0.0016076331704677081,1.891133314841035e-12,1.3439870821345798e-17,2.416612487761356e-12,-1.0446797543307244e-26,-3.3226442987249166e-18,8.974522964663139e-27
0.0015844172103673827,1.6986478664604344e-13,1.2921593247140742e-16,9.105478305751007e-13,-6.384038449747679e-27,-3.7226617107909097e-19,-7.536139471201548e-27
0.0015960753937363011,2.1329583811246295e-10,8.795733387466639e-16,2.828103036629661e-12,-6.302471396000331e-26,-1.5969711420679597e-17,-1.2618842065678197e-25
0.00065342901866629,0.0,0.0,0.0,0.0,0.0,0.0
0.0009998488162109443,7.574662648003071e-11,3.00461761562343e-15,8.705549952878175e-14,-4.607151850454045e-28,-7.266683158375897e-19,1.3304435916933324e-27
0.0010000180375124516,7.165268694888617e-11,3.760393033793613e-15,9.962839478849938e-15,-6.066573352520912e-29,-6.677350859213727e-20,-6.188372121032554e-30
