m00,m10,m01,m20,m11,m02,m30,m21,m12,m03,mu20,mu11,mu02,mu30,mu21,mu12,mu03,nu20,nu11,nu02,nu30,nu21,nu12,nu03
4855200.0,332581200.0,332581200.0,30483442560.0,22781812200.0,30483442560.0,3143239174680.0,2088115815360.0,2088115815360.0,3143239174680.0,7701630360.0,0.0,7701630360.0,0.0,0.0,0.0,0.0,0.000326714509333145,0.0,0.000326714509333145,0.0,0.0,0.0,0.0
3666900.0,249504750.0,250422750.0,23645423250.0,17033925285.0,23881154940.0,2515871930670.0,1614579843045.0,1624201474995.0,2559408528960.0,6668516251.564674,-5444655.020860655,6779092239.200278,-503857344.56243247,509380092.8319119,13560939.608967299,2572417983.6253567,0.0004959422190983163,-4.0492280312533547e-07,0.0005041658326606469,-1.9568607720783244e-08,1.9783097983934876e-08,5.266742866744721e-10,9.990652901798757e-08
2858550.0,204860625.0,195187200.0,21069117195.0,13992018810.0,19785192960.0,2381821794375.0,1440188988270.0,1403641186710.0,2235856447500.0,6387591360.086977,3747909.0187339988,6457441812.096344,-43661206905.36342,1012626222.1276344,-14794762727.876873,3033376973.287372,0.0007817097678807023,4.586669565901366e-07,0.0007902580261440269,-3.160321414460752e-06,7.329674467247336e-08,-1.0708866928969717e-06,2.1956438876257008e-07
2824635.0,196091685.0,192834315.0,19896378315.0,13388934375.0,19570169565.0,2234361469455.0,1359649145415.0,1352258929725.0,2213831173635.0,6283310104.013721,1999158.8850768392,6405610943.613793,-19283366261.10589,1070596249.3221918,-6613469223.864847,3193891495.126118,0.0007875240436124704,2.505662879815222e-07,0.0008028527239011487,-1.4380600111065264e-06,7.983988030638499e-08,-4.932004867172154e-07,2.381849505300378e-07
3682455.0,249563400.0,251671485.0,23589349260.0,17040494595.0,23987965005.0,2506307564580.0,1610242013565.0,1624616304405.0,2569180825875.0,6676205550.284605,-15515995.665467268,6787880723.69711,2730109439.6440616,168812620.9196726,1050439136.2993039,1948145935.167473,0.0004923283023231188,-1.1442074015391456e-06,0.000500563646205764,1.0491472232695347e-07,6.487259811599997e-09,4.0367074193397346e-08,7.486483394128178e-08
4821030.0,330240555.0,327830040.0,30272050875.0,22456357740.0,29832533640.0,3121763966415.0,2058499459500.0,2043528554340.0,3054064652640.0,7650572857.5,0.0,7540090920.0,0.0,0.0,0.0,0.0,0.00032916548261816806,0.0,0.00032441200324412003,0.0,0.0,0.0,0.0
2791230.0,189919410.0,197795340.0,19165458300.0,13457617605.0,20205596160.0,2153053551300.0,1345139876955.0,1374549831225.0,2270820357360.0,6243061258.284306,-669341.4534983434,6189196033.276081,-566735903.1429019,-12893713554.00442,-173898515.91104347,-38183569162.315414,0.0008013206744067438,-8.591252315744251e-08,0.0007944068677588616,-4.354032493492184e-08,-9.905786357382104e-07,-1.336001097950263e-08,-2.933509239987343e-06
3690105.0,252512475.0,251621505.0,24069792975.0,17207927595.0,23844077175.0,2577480778545.0,1638491016585.0,1630561159695.0,2535843041325.0,6790460806.77562,-10435836.602860529,6686467356.725176,1056767229.9615861,-1355864614.6837394,343271660.27823293,-1916871461.9715705,0.0004986798256681991,-7.663899882351919e-07,0.0004910427245910463,4.0400108138339644e-08,-5.183457198626651e-08,1.3123242094261491e-08,-7.3281809044896e-08
4786095.0,325454460.0,325454460.0,29616355860.0,22130903280.0,29616355860.0,3031933749360.0,2013912198480.0,2013912198480.0,3031933749360.0,7485452580.0,0.0,7485452580.0,0.0,0.0,0.0,0.0,0.00032677997407071945,0.0,0.00032677997407071945,0.0,0.0,0.0,0.0
3631455.0,246471780.0,241349850.0,23342184390.0,16374488400.0,22620818460.0,2483627270430.0,1555928637660.0,1535138314260.0,2395776349350.0,6613810133.298925,-6253515.357067825,6580484738.386349,1584990417.1781192,5434394697.82262,663889847.1250291,17685707645.256287,0.0005015224627440923,-4.7420146019829904e-07,0.000498995411953153,6.307031116539133e-08,2.1624671094065536e-07,2.641766081606169e-08,7.037538348984873e-07
